??,?,?,?,?,?,?
5/14/2018 13:20,7.15 ,7.15 ,7.13 ,7.15 ,12419,8871440
5/14/2018 13:25,7.15 ,7.15 ,7.12 ,7.13 ,24759,17654896
5/14/2018 13:30,7.13 ,7.14 ,7.12 ,7.13 ,22773,16228496
5/14/2018 13:35,7.13 ,7.13 ,7.11 ,7.12 ,56924,40500496
5/14/2018 13:40,7.11 ,7.13 ,7.11 ,7.12 ,31482,22409584
5/14/2018 13:45,7.12 ,7.13 ,7.11 ,7.12 ,16678,11869440
5/14/2018 13:50,7.12 ,7.12 ,7.11 ,7.12 ,21651,15400320
5/14/2018 13:55,7.11 ,7.12 ,7.10 ,7.11 ,28681,20394192
5/14/2018 14:00,7.11 ,7.12 ,7.10 ,7.11 ,27839,19788000
5/14/2018 14:05,7.11 ,7.12 ,7.10 ,7.11 ,33578,23855968
5/14/2018 14:10,7.11 ,7.12 ,7.10 ,7.11 ,15284,10858896
5/14/2018 14:15,7.11 ,7.11 ,7.10 ,7.11 ,43943,31203664
5/14/2018 14:20,7.10 ,7.11 ,7.10 ,7.11 ,27527,19555776
5/14/2018 14:25,7.11 ,7.11 ,7.10 ,7.11 ,11756,8354096
5/14/2018 14:30,7.10 ,7.11 ,7.10 ,7.10 ,21267,15112736
5/14/2018 14:35,7.11 ,7.11 ,7.10 ,7.11 ,11475,8152800
5/14/2018 14:40,7.11 ,7.11 ,7.10 ,7.10 ,35257,25038736
5/14/2018 14:45,7.10 ,7.12 ,7.09 ,7.12 ,46702,33143136
5/14/2018 14:50,7.11 ,7.13 ,7.11 ,7.13 ,11611,8265472
5/14/2018 14:55,7.13 ,7.14 ,7.12 ,7.13 ,12456,8885104
5/14/2018 15:00,7.13 ,7.14 ,7.13 ,7.14 ,16864,12033024
5/15/2018 9:35,7.17 ,7.17 ,7.15 ,7.15 ,74763,53551916
5/15/2018 9:40,7.15 ,7.16 ,7.13 ,7.15 ,33473,23922976
5/15/2018 9:45,7.15 ,7.15 ,7.13 ,7.15 ,29389,20982546
5/15/2018 9:50,7.15 ,7.17 ,7.14 ,7.16 ,36745,26286252
5/15/2018 9:55,7.15 ,7.17 ,7.14 ,7.16 ,24415,17460508
5/15/2018 10:00,7.15 ,7.16 ,7.13 ,7.14 ,17018,12160201
5/15/2018 10:05,7.14 ,7.15 ,7.13 ,7.14 ,20800,14857315
5/15/2018 10:10,7.14 ,7.16 ,7.14 ,7.15 ,22633,16179247
5/15/2018 10:15,7.15 ,7.15 ,7.13 ,7.15 ,17392,12413700
5/15/2018 10:20,7.14 ,7.15 ,7.11 ,7.12 ,26712,19020752
5/15/2018 10:25,7.12 ,7.12 ,7.10 ,7.12 ,20978,14914617
5/15/2018 10:30,7.12 ,7.14 ,7.11 ,7.14 ,23900,17030868
5/15/2018 10:35,7.14 ,7.15 ,7.12 ,7.15 ,23641,16889072
5/15/2018 10:40,7.15 ,7.15 ,7.14 ,7.15 ,8810,6292537
5/15/2018 10:45,7.15 ,7.15 ,7.13 ,7.14 ,7482,5340191
5/15/2018 10:50,7.13 ,7.14 ,7.12 ,7.13 ,7440,5305101
5/15/2018 10:55,7.13 ,7.13 ,7.11 ,7.12 ,12847,9150123
5/15/2018 11:00,7.12 ,7.13 ,7.11 ,7.13 ,8367,5959630
5/15/2018 11:05,7.12 ,7.13 ,7.11 ,7.13 ,10947,7795353
5/15/2018 11:10,7.13 ,7.14 ,7.12 ,7.13 ,9369,6675338
5/15/2018 11:15,7.13 ,7.13 ,7.12 ,7.13 ,6706,4776740
5/15/2018 11:20,7.13 ,7.13 ,7.11 ,7.13 ,7004,4988118
5/15/2018 11:25,7.13 ,7.13 ,7.11 ,7.12 ,8845,6295621
5/15/2018 11:30,7.12 ,7.13 ,7.11 ,7.11 ,5019,3571504
5/15/2018 13:05,7.12 ,7.12 ,7.10 ,7.11 ,32904,23391924
5/15/2018 13:10,7.12 ,7.12 ,7.09 ,7.11 ,20630,14651769
5/15/2018 13:15,7.11 ,7.11 ,7.10 ,7.10 ,15572,11065758
5/15/2018 13:20,7.10 ,7.11 ,7.10 ,7.10 ,8591,6104199
5/15/2018 13:25,7.11 ,7.12 ,7.10 ,7.11 ,10029,7132215
5/15/2018 13:30,7.11 ,7.12 ,7.10 ,7.12 ,19312,13731157
5/15/2018 13:35,7.12 ,7.12 ,7.10 ,7.12 ,17370,12350128
5/15/2018 13:40,7.12 ,7.12 ,7.10 ,7.10 ,13831,9835963
5/15/2018 13:45,7.11 ,7.12 ,7.10 ,7.12 ,13372,9504796
5/15/2018 13:50,7.12 ,7.12 ,7.10 ,7.11 ,19939,14177310
5/15/2018 13:55,7.11 ,7.12 ,7.11 ,7.12 ,26250,18672352
5/15/2018 14:00,7.11 ,7.12 ,7.11 ,7.11 ,7155,5090345
5/15/2018 14:05,7.11 ,7.12 ,7.09 ,7.10 ,37750,26816448
5/15/2018 14:10,7.09 ,7.10 ,7.08 ,7.10 ,33903,24035280
5/15/2018 14:15,7.09 ,7.10 ,7.09 ,7.09 ,27582,19565488
5/15/2018 14:20,7.10 ,7.11 ,7.09 ,7.10 ,23591,16743584
5/15/2018 14:25,7.10 ,7.11 ,7.09 ,7.10 ,11005,7817232
5/15/2018 14:30,7.10 ,7.10 ,7.09 ,7.09 ,24081,17081568
5/15/2018 14:35,7.10 ,7.10 ,7.09 ,7.10 ,19353,13723952
5/15/2018 14:40,7.10 ,7.12 ,7.09 ,7.12 ,42080,29899792
5/15/2018 14:45,7.12 ,7.13 ,7.11 ,7.13 ,16731,11910496
5/15/2018 14:50,7.13 ,7.15 ,7.12 ,7.15 ,29374,20963552
5/15/2018 14:55,7.15 ,7.15 ,7.14 ,7.15 ,26249,18758416
5/15/2018 15:00,7.15 ,7.16 ,7.14 ,7.16 ,47158,33742768
5/16/2018 9:35,7.11 ,7.11 ,7.06 ,7.06 ,97480,69025504
5/16/2018 9:40,7.06 ,7.09 ,7.06 ,7.08 ,42595,30137876
5/16/2018 9:45,7.08 ,7.09 ,7.07 ,7.08 ,25919,18340516
5/16/2018 9:50,7.08 ,7.10 ,7.08 ,7.08 ,41985,29754616
